weekly_label,avg_mood_score,mood_variability,journal_negative_ratio,quickcheckin_avg,low_signal_rate,stress_mean,energy_mean,recovery_score
Mixed,2.825,0.466,0.336,3.345,0.315,2.813,2.725,0.63
Mixed,3.316,0.333,0.381,3.356,0.24,3.2,2.914,0.607
Mixed,3.055,0.381,0.348,2.856,0.286,3.195,3.447,0.394
Mixed,3.06,0.669,0.475,3.357,0.381,3.217,3.206,0.402
Mixed,2.665,0.453,0.495,3.377,0.361,3.57,3.413,0.601
Mixed,3.255,0.668,0.481,2.836,0.355,3.433,3.033,0.506
Mixed,3.352,0.61,0.366,2.561,0.301,3.07,2.751,0.49
Mixed,2.758,0.414,0.39,3.036,0.245,3.57,2.917,0.61
Mixed,2.85,0.639,0.563,3.372,0.44,3.294,3.043,0.516
Mixed,3.119,0.433,0.585,2.817,0.239,3.448,3.098,0.569
Mixed,2.95,0.577,0.511,3.071,0.42,2.871,3.11,0.523
Mixed,3.269,0.489,0.414,2.9,0.322,3.48,2.764,0.46
Mixed,2.732,0.412,0.519,2.971,0.444,3.139,2.695,0.469
Mixed,2.564,0.636,0.516,2.754,0.509,3.236,3.341,0.499
Mixed,2.879,0.469,0.356,2.647,0.302,3.531,3.415,0.371
Mixed,2.851,0.334,0.524,3.153,0.452,3.138,3.212,0.552
Mixed,3.365,0.576,0.456,2.861,0.251,3.149,3.177,0.501
Mixed,3.001,0.666,0.494,2.659,0.385,2.83,2.989,0.586
Mixed,3.234,0.417,0.558,2.928,0.269,3.286,3.019,0.481
Mixed,3.191,0.38,0.422,2.569,0.308,3.216,3.03,0.516
Mixed,3.046,0.458,0.344,3.214,0.277,2.956,2.825,0.432
Mixed,2.789,0.446,0.406,2.626,0.448,2.824,3.345,0.626
Mixed,3.145,0.604,0.545,3.435,0.428,3.559,2.955,0.405
Mixed,3.052,0.348,0.568,3.075,0.324,3.473,2.576,0.432
Mixed,3.238,0.667,0.439,2.746,0.316,3.264,3.347,0.511
Mixed,2.927,0.511,0.533,3.032,0.332,3.579,3.21,0.582
Mixed,2.556,0.475,0.397,3.098,0.256,3.433,3.329,0.546
Mixed,3.347,0.572,0.584,3.442,0.236,3.007,3.148,0.42
Mixed,3.043,0.497,0.403,2.645,0.449,3.379,3.112,0.465
Mixed,3.075,0.44,0.551,2.966,0.425,3.083,3.051,0.381
Mixed,3.194,0.578,0.395,3.282,0.396,3.355,3.161,0.382
Mixed,2.61,0.414,0.346,2.655,0.286,3.406,2.791,0.406
Mixed,3.252,0.425,0.57,3.146,0.438,2.905,2.911,0.578
Mixed,3.231,0.472,0.598,3.147,0.377,2.871,3.016,0.366
Mixed,3.008,0.635,0.543,3.083,0.49,2.997,3.12,0.582
Mixed,2.805,0.398,0.499,3.18,0.283,3.548,3.413,0.414
Mixed,3.349,0.488,0.461,2.669,0.437,3.507,3.105,0.635
Mixed,3.313,0.506,0.456,3.296,0.349,3.392,2.654,0.439
Mixed,3.26,0.595,0.595,2.963,0.275,3.494,2.708,0.608
Mixed,3.162,0.636,0.328,2.869,0.502,2.84,3.159,0.572
Mixed,2.984,0.663,0.594,2.582,0.288,3.202,2.629,0.384
Mixed,2.622,0.587,0.563,2.809,0.466,2.899,2.645,0.62
Mixed,3.063,0.605,0.482,3.161,0.362,3.066,3.067,0.538
Mixed,2.669,0.553,0.526,3.119,0.253,3.139,3.238,0.512
Mixed,2.609,0.379,0.569,2.745,0.53,3.544,2.889,0.611
Mixed,3.348,0.503,0.429,2.658,0.39,3.473,2.626,0.531
Mixed,2.688,0.359,0.58,3.29,0.254,3.463,3.226,0.481
Mixed,3.359,0.42,0.531,3.425,0.248,3.357,3.278,0.465
Mixed,3.18,0.458,0.457,2.651,0.446,2.848,2.792,0.361
Mixed,2.555,0.348,0.432,3.339,0.31,3.411,3.181,0.618
Mixed,2.718,0.55,0.551,3.128,0.52,3.353,2.703,0.42
Mixed,2.564,0.492,0.573,2.668,0.397,2.852,3.231,0.595
Mixed,2.728,0.56,0.504,3.232,0.46,3.237,3.225,0.376
Mixed,2.57,0.356,0.546,2.977,0.462,2.87,3.253,0.584
Mixed,3.016,0.345,0.468,2.793,0.477,3.12,2.656,0.444
Mixed,2.657,0.389,0.579,3.208,0.355,3.498,2.957,0.637
Mixed,2.674,0.405,0.327,2.897,0.397,3.359,3.291,0.6
Mixed,3.262,0.637,0.498,2.785,0.44,3.003,2.969,0.636
Mixed,3.069,0.595,0.327,2.879,0.31,3.159,2.892,0.456
Mixed,2.78,0.66,0.369,2.561,0.405,2.956,3.162,0.573
Mixed,2.945,0.595,0.533,2.98,0.277,3.453,2.582,0.373
Mixed,3.126,0.373,0.43,3.249,0.405,3.082,2.789,0.363
Mixed,2.934,0.568,0.477,3.265,0.503,2.921,2.879,0.609
Mixed,2.826,0.65,0.579,2.796,0.349,3.066,2.818,0.522
Mixed,3.326,0.452,0.318,3.04,0.494,3.195,3.004,0.477
Mixed,3.062,0.494,0.329,2.697,0.333,3.457,3.128,0.365
Mixed,2.649,0.399,0.402,3.374,0.487,3.276,2.601,0.589
Mixed,3.275,0.482,0.415,2.68,0.512,3.037,3.373,0.485
Mixed,2.874,0.578,0.5,3.425,0.426,3.46,2.588,0.426
Mixed,2.656,0.513,0.573,2.725,0.358,3.502,2.95,0.393
Mixed,3.323,0.614,0.387,2.921,0.344,3.138,3.287,0.585
Mixed,2.657,0.393,0.526,3.293,0.494,2.853,2.817,0.505
Mixed,3.137,0.633,0.577,3.101,0.34,2.809,2.754,0.506
Mixed,3.224,0.651,0.505,3.17,0.466,2.977,3.073,0.5
Mixed,3.105,0.378,0.447,2.909,0.387,3.086,3.086,0.531
Mixed,3.262,0.479,0.51,2.589,0.426,3.0,2.62,0.543
Mixed,2.723,0.643,0.55,2.985,0.533,3.187,2.56,0.482
Mixed,2.926,0.379,0.456,2.763,0.409,3.328,2.586,0.601
Mixed,3.173,0.451,0.408,3.409,0.263,3.068,2.86,0.592
Mixed,3.086,0.463,0.519,2.894,0.419,3.517,2.559,0.588
Mixed,3.309,0.589,0.465,2.69,0.426,2.853,2.822,0.558
Mixed,2.76,0.501,0.321,2.63,0.407,3.062,3.432,0.394
Mixed,3.364,0.633,0.31,3.3,0.238,3.204,3.384,0.467
Mixed,3.124,0.438,0.524,3.122,0.323,3.322,3.414,0.388
Mixed,2.579,0.511,0.465,3.072,0.531,3.176,2.906,0.41
Mixed,2.872,0.454,0.411,3.218,0.431,3.206,3.074,0.545
Mixed,3.001,0.369,0.366,3.082,0.518,3.141,2.994,0.473
Mixed,3.027,0.671,0.475,3.424,0.439,3.347,3.445,0.608
Mixed,2.576,0.629,0.448,3.341,0.373,3.24,2.737,0.607
Mixed,2.609,0.385,0.498,3.303,0.427,2.96,3.013,0.424
Mixed,3.304,0.678,0.356,3.166,0.415,2.95,2.993,0.492
Mixed,3.354,0.405,0.531,3.242,0.412,3.475,3.329,0.374
Mixed,2.911,0.431,0.349,3.167,0.287,3.39,3.016,0.362
Mixed,3.076,0.6,0.432,3.38,0.235,2.828,2.747,0.43
Mixed,3.297,0.596,0.441,2.733,0.456,3.272,3.013,0.492
Mixed,2.566,0.487,0.534,2.878,0.504,3.34,3.055,0.445
Mixed,2.613,0.334,0.567,3.078,0.511,2.882,3.245,0.504
Mixed,2.709,0.529,0.309,2.792,0.412,3.585,2.876,0.404
Mixed,3.139,0.673,0.6,3.024,0.257,3.349,2.952,0.4
Mixed,2.808,0.402,0.39,2.569,0.331,3.401,2.82,0.447
Mixed,2.923,0.359,0.587,3.326,0.435,3.187,3.005,0.453
Mixed,2.98,0.679,0.465,3.291,0.324,3.256,3.343,0.564
Mixed,2.664,0.34,0.59,2.639,0.474,2.809,2.734,0.446
Mixed,3.377,0.636,0.423,3.396,0.424,2.949,3.07,0.362
Mixed,2.849,0.448,0.474,2.766,0.464,3.011,3.196,0.414
Mixed,3.152,0.349,0.341,2.879,0.455,3.505,3.177,0.497
Mixed,2.837,0.331,0.513,2.576,0.301,2.972,3.192,0.365
Mixed,3.136,0.538,0.573,2.974,0.436,3.543,3.196,0.364
Mixed,3.261,0.414,0.517,2.918,0.532,3.382,3.339,0.606
Mixed,3.148,0.663,0.416,2.911,0.286,3.482,3.035,0.531
Mixed,3.312,0.472,0.567,3.278,0.222,3.01,2.685,0.458
Mixed,3.435,0.639,0.381,2.652,0.418,3.5,3.273,0.543
Mixed,2.841,0.446,0.381,2.771,0.4,2.826,3.085,0.389
Mixed,2.659,0.409,0.456,3.448,0.345,2.85,3.133,0.436
Mixed,3.357,0.328,0.315,2.876,0.435,2.941,2.752,0.363
Mixed,3.244,0.582,0.433,3.281,0.47,2.977,2.709,0.492
Mixed,3.386,0.4,0.328,2.968,0.369,2.851,2.74,0.487
Mixed,2.825,0.506,0.546,3.408,0.311,3.18,3.124,0.454
Mixed,2.64,0.338,0.465,3.17,0.313,3.399,2.863,0.426
Mixed,3.111,0.439,0.345,2.786,0.494,3.377,2.633,0.467
Mixed,2.987,0.428,0.555,2.797,0.432,2.915,2.921,0.576
Mixed,2.608,0.356,0.363,2.773,0.507,3.146,2.583,0.385
Mixed,2.964,0.365,0.596,2.595,0.253,3.369,2.743,0.429
Mixed,3.282,0.635,0.45,2.994,0.269,3.519,3.02,0.383
Mixed,3.27,0.505,0.314,2.747,0.507,3.572,2.969,0.481
Mixed,2.562,0.608,0.333,3.244,0.274,3.245,3.253,0.39
Mixed,3.257,0.35,0.446,2.93,0.368,2.894,2.951,0.526
Mixed,3.182,0.432,0.58,3.253,0.486,3.073,2.725,0.498
Mixed,3.432,0.482,0.468,3.114,0.225,3.025,3.048,0.458
Mixed,2.711,0.477,0.332,3.433,0.434,2.97,3.398,0.511
Mixed,3.311,0.52,0.534,3.167,0.269,2.847,2.658,0.378
Mixed,3.407,0.352,0.391,2.717,0.231,3.573,2.928,0.533
Mixed,2.991,0.362,0.43,2.592,0.465,3.497,2.552,0.529
Mixed,2.754,0.438,0.374,3.098,0.299,3.539,2.816,0.546
Mixed,3.28,0.453,0.562,2.743,0.487,3.18,2.654,0.361
Mixed,2.973,0.361,0.569,2.578,0.361,2.828,3.259,0.388
Mixed,2.822,0.538,0.34,3.38,0.414,3.004,3.188,0.364
Mixed,2.902,0.491,0.578,2.65,0.276,3.461,2.793,0.561
Mixed,2.942,0.329,0.374,2.784,0.327,3.179,2.749,0.375
Mixed,2.972,0.39,0.404,2.841,0.285,3.236,3.448,0.396
Mixed,3.163,0.492,0.408,2.586,0.331,3.137,3.035,0.478
Mixed,2.91,0.631,0.34,3.125,0.492,3.278,3.405,0.471
Mixed,3.415,0.54,0.448,2.891,0.309,3.09,3.135,0.576
Mixed,3.275,0.35,0.563,3.395,0.409,3.503,2.564,0.531
Mixed,3.196,0.505,0.303,2.726,0.461,3.219,3.362,0.493
Mixed,3.439,0.363,0.485,3.406,0.536,3.291,3.107,0.384
Mixed,3.209,0.673,0.559,3.203,0.236,2.97,2.912,0.587
Mixed,3.138,0.576,0.442,3.186,0.314,3.349,3.086,0.454
Mixed,3.157,0.413,0.453,3.427,0.257,2.867,3.307,0.36
Mixed,3.161,0.359,0.334,3.402,0.238,2.961,2.808,0.565
Mixed,2.767,0.57,0.54,3.264,0.27,2.872,3.271,0.599
Mixed,3.316,0.473,0.368,3.38,0.499,3.284,3.086,0.382
Mixed,3.056,0.351,0.304,2.727,0.223,3.155,3.34,0.423
Mixed,3.175,0.422,0.351,2.704,0.254,3.046,3.173,0.582
Mixed,2.988,0.425,0.376,3.252,0.318,2.837,3.029,0.509
Mixed,3.285,0.493,0.492,2.701,0.35,3.591,3.35,0.385
Mixed,2.896,0.564,0.308,3.377,0.296,3.09,3.279,0.474
Mixed,3.278,0.526,0.351,3.352,0.382,3.492,3.295,0.488
Mixed,3.34,0.4,0.424,2.736,0.523,3.356,2.799,0.407
Mixed,3.41,0.343,0.411,3.396,0.37,2.806,3.252,0.514
Mixed,2.587,0.569,0.501,3.267,0.519,3.398,3.256,0.419
Mixed,2.746,0.451,0.409,2.968,0.529,3.411,3.072,0.552
Mixed,3.435,0.424,0.347,3.038,0.363,2.903,2.67,0.595
Mixed,2.785,0.65,0.538,2.943,0.393,3.258,2.856,0.448
Mixed,3.351,0.519,0.553,3.314,0.268,3.484,3.291,0.442
Mixed,2.751,0.653,0.355,2.621,0.52,2.831,2.695,0.461
Mixed,2.925,0.596,0.569,2.624,0.287,2.88,3.251,0.472
Mixed,2.761,0.488,0.452,3.354,0.454,3.159,2.658,0.547
Mixed,2.552,0.503,0.448,3.276,0.349,2.857,3.087,0.395
Mixed,3.041,0.361,0.522,3.365,0.477,3.565,2.633,0.59
Mixed,2.579,0.678,0.537,3.209,0.331,3.164,2.558,0.384
Mixed,3.0,0.668,0.347,3.354,0.365,3.242,3.381,0.512
Mixed,3.363,0.631,0.53,3.345,0.439,3.486,3.109,0.492
Mixed,2.96,0.496,0.332,3.057,0.538,3.34,2.7,0.493
Mixed,3.235,0.388,0.511,3.372,0.27,3.272,3.386,0.47
Mixed,2.768,0.566,0.539,3.032,0.283,3.319,2.615,0.568
Mixed,3.084,0.665,0.464,3.4,0.529,3.384,2.83,0.504
Mixed,2.89,0.647,0.408,2.745,0.325,2.811,2.785,0.407
Mixed,2.712,0.648,0.396,2.627,0.322,3.278,3.283,0.462
Mixed,2.769,0.609,0.555,3.088,0.399,3.515,3.338,0.57
Mixed,3.116,0.553,0.359,2.811,0.28,3.444,3.086,0.439
Mixed,2.668,0.539,0.447,2.766,0.456,2.814,3.432,0.543
Mixed,3.031,0.571,0.337,3.352,0.413,3.293,3.307,0.628
Mixed,2.747,0.433,0.494,3.438,0.531,3.515,3.049,0.38
Mixed,3.343,0.436,0.423,2.843,0.229,2.955,3.06,0.537
Mixed,3.405,0.626,0.446,3.106,0.43,3.58,2.881,0.547
Mixed,3.159,0.376,0.335,3.093,0.233,3.494,3.228,0.531
Mixed,2.669,0.603,0.419,2.789,0.511,3.469,2.6,0.467
Mixed,3.081,0.611,0.572,3.326,0.49,3.456,3.331,0.56
Mixed,2.836,0.64,0.466,3.102,0.432,3.355,3.331,0.402
Mixed,2.994,0.423,0.497,2.984,0.529,3.126,2.703,0.375
Mixed,2.998,0.489,0.488,2.701,0.537,3.212,3.359,0.499
Mixed,2.78,0.519,0.307,2.808,0.381,3.236,3.245,0.402
Mixed,2.798,0.356,0.31,2.737,0.442,2.983,2.875,0.568
Mixed,3.049,0.584,0.47,2.559,0.509,3.154,3.443,0.536
Mixed,3.14,0.483,0.429,2.983,0.444,3.163,2.962,0.409
Mixed,2.753,0.639,0.336,3.351,0.363,3.463,3.155,0.588
Mixed,3.346,0.336,0.504,2.833,0.322,3.512,2.577,0.599
Mixed,2.708,0.634,0.377,3.006,0.522,3.403,3.346,0.447
Mixed,2.937,0.588,0.353,3.405,0.276,2.861,3.257,0.393
Mixed,3.147,0.477,0.461,3.138,0.289,3.002,2.682,0.496
Mixed,2.94,0.588,0.5,2.895,0.28,3.108,2.836,0.565
Mixed,2.699,0.623,0.543,2.753,0.363,3.166,2.622,0.637
Mixed,2.768,0.359,0.406,2.996,0.42,2.991,2.606,0.494
Mixed,2.934,0.612,0.513,2.69,0.354,3.096,3.226,0.372
Mixed,2.596,0.444,0.347,2.78,0.356,2.891,3.111,0.596
Mixed,3.004,0.327,0.584,3.224,0.311,3.505,3.095,0.602
Mixed,2.645,0.435,0.376,2.705,0.386,3.538,2.684,0.499
Mixed,3.288,0.679,0.517,2.686,0.404,3.527,3.388,0.634
Mixed,2.781,0.65,0.366,2.639,0.232,3.028,3.039,0.526
Mixed,2.93,0.62,0.49,3.194,0.331,3.199,2.551,0.467
Mixed,2.833,0.463,0.454,3.048,0.471,3.413,3.404,0.362
Mixed,3.178,0.67,0.423,2.804,0.299,3.418,3.027,0.378
Mixed,3.32,0.608,0.418,3.051,0.394,3.078,3.383,0.637
Mixed,2.705,0.541,0.432,2.903,0.361,3.211,2.781,0.526
Mixed,3.161,0.375,0.596,2.928,0.237,3.548,3.105,0.473
Mixed,2.737,0.489,0.329,3.281,0.437,3.107,2.829,0.513
Mixed,2.653,0.353,0.379,2.99,0.528,3.205,3.031,0.603
Mixed,3.122,0.476,0.365,3.445,0.243,2.855,3.114,0.371
Mixed,2.805,0.506,0.453,2.613,0.247,3.031,2.789,0.365
Mixed,2.837,0.565,0.474,2.985,0.307,3.532,3.006,0.397
Mixed,2.564,0.346,0.438,2.551,0.273,3.032,2.717,0.481
Mixed,2.586,0.473,0.565,2.777,0.442,3.237,2.854,0.462
Mixed,3.208,0.578,0.363,3.235,0.305,2.971,2.695,0.53
Mixed,2.841,0.525,0.495,2.952,0.49,3.177,2.794,0.397
Mixed,2.911,0.355,0.412,3.069,0.285,3.532,3.376,0.441
Mixed,3.435,0.44,0.584,2.648,0.476,2.819,2.559,0.552
Mixed,3.324,0.5,0.559,2.889,0.529,3.185,2.599,0.399
Mixed,3.412,0.488,0.352,3.322,0.341,2.829,3.108,0.483
Mixed,3.416,0.349,0.458,2.823,0.332,3.186,3.248,0.362
Mixed,2.591,0.426,0.566,3.225,0.377,3.089,2.892,0.59
Mixed,3.148,0.578,0.361,3.372,0.441,3.573,3.255,0.453
Mixed,3.068,0.41,0.486,3.201,0.29,3.493,2.729,0.431
Mixed,3.385,0.607,0.364,2.918,0.53,3.58,3.15,0.548
Mixed,2.893,0.442,0.51,2.898,0.374,3.428,2.974,0.597
Mixed,3.094,0.643,0.561,2.678,0.33,3.52,2.849,0.394
Mixed,3.129,0.424,0.489,2.642,0.362,3.014,3.293,0.448
Mixed,2.949,0.335,0.488,3.381,0.489,3.587,3.016,0.399
Mixed,3.035,0.546,0.579,3.032,0.462,3.423,3.342,0.51
Mixed,3.268,0.621,0.444,2.627,0.224,2.839,3.19,0.535
Mixed,3.152,0.395,0.521,2.556,0.361,3.199,3.006,0.442
Mixed,3.121,0.343,0.363,2.799,0.523,3.329,3.381,0.466
Mixed,2.943,0.461,0.534,3.237,0.482,3.262,2.864,0.431
Mixed,3.314,0.656,0.339,3.283,0.285,3.429,3.439,0.459
Mixed,2.621,0.673,0.343,2.836,0.3,2.823,3.377,0.515
Mixed,3.07,0.352,0.377,2.772,0.346,3.257,3.266,0.416
Mixed,3.286,0.382,0.323,3.367,0.244,3.528,3.426,0.602
Mixed,3.138,0.524,0.568,2.935,0.355,3.544,3.025,0.497
Mixed,2.581,0.671,0.391,2.961,0.443,3.286,3.337,0.366
Mixed,2.903,0.505,0.313,2.691,0.276,2.933,2.591,0.508
Mixed,2.909,0.477,0.438,2.977,0.237,2.89,3.104,0.583
Mixed,3.029,0.432,0.504,3.225,0.367,2.949,2.906,0.518
Mixed,2.999,0.324,0.368,2.996,0.252,3.592,2.766,0.638
Mixed,2.805,0.629,0.321,2.635,0.459,3.224,3.125,0.402
Mixed,2.7,0.539,0.593,2.928,0.266,3.455,2.888,0.494
Mixed,2.89,0.433,0.311,3.351,0.387,3.54,3.015,0.572
Mixed,2.9,0.527,0.578,3.058,0.287,3.233,2.678,0.524
Mixed,2.822,0.566,0.358,3.038,0.409,3.293,3.101,0.52
Mixed,3.078,0.426,0.596,2.571,0.259,3.393,2.964,0.405
Mixed,3.227,0.428,0.397,2.706,0.36,3.599,2.793,0.492
Mixed,2.845,0.438,0.327,2.771,0.408,3.469,3.004,0.55
Mixed,2.647,0.528,0.564,2.762,0.371,3.439,3.047,0.587
Mixed,2.832,0.658,0.344,3.127,0.487,2.893,3.343,0.371
Mixed,3.216,0.452,0.387,2.859,0.261,3.394,2.565,0.464
Mixed,3.334,0.505,0.325,2.732,0.473,3.436,3.087,0.408
Mixed,3.035,0.38,0.546,3.191,0.324,3.304,2.745,0.428
Mixed,2.723,0.381,0.424,3.084,0.297,3.315,2.791,0.534
Mixed,3.007,0.55,0.559,2.675,0.455,3.449,3.154,0.48
Mixed,3.443,0.484,0.508,3.399,0.343,3.205,2.952,0.58
Mixed,3.322,0.435,0.58,2.742,0.419,3.221,3.249,0.593
Mixed,3.053,0.666,0.579,2.859,0.525,2.966,3.032,0.4
Mixed,3.175,0.331,0.554,3.447,0.225,3.359,3.288,0.469
Mixed,2.602,0.603,0.507,3.058,0.224,2.872,3.054,0.507
Mixed,2.561,0.474,0.559,3.232,0.328,3.363,2.779,0.636
Mixed,3.186,0.443,0.351,3.441,0.325,3.341,2.871,0.545
Mixed,3.147,0.377,0.384,2.573,0.326,3.593,3.213,0.445
Mixed,3.027,0.384,0.5,2.998,0.293,2.913,2.705,0.437
Mixed,3.056,0.351,0.484,3.266,0.24,3.47,2.576,0.492
Mixed,2.576,0.417,0.547,2.758,0.354,3.048,2.862,0.582
Mixed,3.18,0.559,0.394,3.393,0.317,3.112,3.368,0.516
Mixed,3.356,0.572,0.53,2.9,0.422,3.501,2.76,0.447
Mixed,3.115,0.393,0.414,2.765,0.538,3.438,3.005,0.375
Mixed,2.738,0.418,0.584,3.24,0.291,3.276,3.001,0.636
Mixed,3.351,0.347,0.41,3.204,0.361,2.984,2.631,0.624
Mixed,3.081,0.474,0.455,2.949,0.308,3.134,3.407,0.538
Mixed,3.197,0.592,0.417,3.164,0.387,3.226,2.641,0.419
Mixed,3.174,0.41,0.509,2.639,0.486,3.103,2.86,0.434
Mixed,3.295,0.57,0.363,3.258,0.224,3.26,3.091,0.447
Mixed,3.025,0.619,0.365,3.307,0.352,2.884,3.273,0.466
Mixed,2.645,0.643,0.408,2.833,0.285,2.844,2.61,0.524
Mixed,3.44,0.413,0.406,2.785,0.353,3.563,2.667,0.504
Mixed,3.212,0.578,0.342,2.88,0.333,2.923,2.698,0.52
Mixed,3.325,0.497,0.322,2.697,0.52,3.3,2.884,0.623
Mixed,2.839,0.514,0.523,3.248,0.347,3.411,3.095,0.553
Mixed,2.905,0.393,0.502,3.087,0.331,3.224,3.036,0.624
Mixed,3.235,0.367,0.396,2.912,0.472,2.809,3.162,0.384
Mixed,3.084,0.505,0.488,3.067,0.457,3.111,2.705,0.516
Mixed,3.347,0.569,0.469,3.449,0.291,3.47,2.666,0.418
Mixed,3.259,0.474,0.311,2.95,0.266,2.999,2.982,0.47
Mixed,3.225,0.57,0.354,3.42,0.282,3.307,3.368,0.448
Mixed,2.811,0.403,0.438,2.779,0.458,3.434,2.703,0.518
Mixed,2.954,0.513,0.568,3.099,0.263,3.007,2.724,0.527
Mixed,3.171,0.42,0.341,2.649,0.483,3.446,2.625,0.367
Mixed,2.76,0.321,0.405,3.24,0.492,2.984,2.833,0.607
Mixed,2.559,0.598,0.341,3.174,0.422,3.175,2.97,0.616
Mixed,3.262,0.504,0.577,3.22,0.265,3.134,3.167,0.412
Mixed,3.363,0.611,0.585,3.173,0.299,3.078,3.448,0.591
Mixed,2.564,0.333,0.474,2.701,0.347,3.16,3.332,0.497
Mixed,3.325,0.37,0.479,3.242,0.338,3.436,3.345,0.459
Mixed,2.657,0.511,0.52,2.774,0.536,3.272,3.433,0.598
Mixed,3.12,0.529,0.444,2.885,0.508,3.152,2.727,0.576
Mixed,3.028,0.47,0.569,3.09,0.36,3.441,3.109,0.458
Mixed,3.414,0.346,0.348,2.745,0.389,3.472,2.948,0.618
Mixed,3.107,0.412,0.495,2.685,0.235,3.409,3.334,0.555
Mixed,3.214,0.581,0.524,2.671,0.493,3.315,3.448,0.431
Mixed,2.558,0.346,0.594,2.827,0.349,3.561,2.857,0.531
Mixed,3.438,0.485,0.307,2.932,0.278,2.937,3.383,0.496
Mixed,3.439,0.322,0.411,2.889,0.493,3.565,2.609,0.444
Mixed,3.207,0.471,0.4,2.786,0.288,3.402,2.691,0.493
Mixed,3.145,0.673,0.511,3.139,0.35,2.918,2.959,0.578
Mixed,3.299,0.363,0.458,3.167,0.312,2.964,3.42,0.604
Mixed,3.0,0.35,0.495,3.413,0.351,3.358,3.421,0.546
Mixed,2.931,0.473,0.363,3.324,0.401,3.082,2.75,0.486
Mixed,2.935,0.404,0.353,3.311,0.257,3.059,3.372,0.385
Mixed,3.367,0.59,0.382,2.621,0.531,3.398,3.364,0.502
Mixed,2.582,0.463,0.477,3.215,0.304,3.192,3.44,0.472
Mixed,2.816,0.325,0.465,3.439,0.284,2.854,2.725,0.582
Mixed,2.595,0.654,0.436,3.089,0.492,3.198,3.126,0.492
Mixed,3.354,0.594,0.402,3.204,0.232,3.142,2.626,0.472
Mixed,2.901,0.535,0.484,3.25,0.24,2.929,3.235,0.581
Mixed,2.941,0.575,0.46,3.395,0.448,3.488,2.984,0.478
Mixed,2.811,0.41,0.574,3.009,0.357,2.996,2.658,0.564
Mixed,3.176,0.662,0.37,2.705,0.37,3.036,2.765,0.586
Mixed,2.958,0.335,0.397,2.998,0.284,3.13,3.211,0.404
Mixed,3.43,0.574,0.424,3.136,0.54,3.042,3.084,0.449
Mixed,3.247,0.347,0.564,2.879,0.25,3.457,2.692,0.497
Mixed,2.587,0.637,0.526,3.408,0.457,3.303,3.248,0.553
Mixed,3.113,0.646,0.44,2.824,0.299,3.328,2.975,0.567
Mixed,3.167,0.677,0.419,3.059,0.34,3.189,3.408,0.38
Mixed,3.081,0.54,0.501,2.673,0.36,3.512,3.243,0.419
Mixed,3.218,0.322,0.568,3.413,0.415,3.017,2.857,0.562
Mixed,2.683,0.42,0.6,3.284,0.292,3.061,3.396,0.37
Mixed,2.844,0.345,0.535,3.114,0.388,3.423,3.097,0.388
Mixed,2.669,0.665,0.491,3.386,0.301,3.236,3.013,0.48
Mixed,2.755,0.558,0.322,2.639,0.5,3.502,3.17,0.427
Mixed,2.577,0.577,0.6,2.819,0.504,2.921,2.72,0.554
Mixed,2.729,0.377,0.373,2.578,0.428,3.416,2.797,0.405
Mixed,2.655,0.673,0.537,2.922,0.456,2.879,3.157,0.492
Mixed,2.89,0.438,0.576,3.044,0.4,3.225,3.131,0.409
Mixed,2.738,0.324,0.423,2.919,0.49,3.316,3.31,0.568
Mixed,3.197,0.593,0.571,3.254,0.385,3.179,3.264,0.463
Mixed,3.13,0.561,0.511,3.047,0.238,2.978,3.089,0.418
Mixed,2.692,0.38,0.317,2.572,0.482,3.442,3.256,0.48
Mixed,2.616,0.487,0.423,2.961,0.378,3.099,2.957,0.548
Mixed,2.803,0.326,0.309,3.111,0.267,2.923,2.647,0.45
Mixed,2.729,0.586,0.407,3.111,0.416,2.999,2.945,0.395
Mixed,2.98,0.464,0.376,2.981,0.465,3.596,2.936,0.558
Mixed,3.373,0.333,0.558,2.602,0.276,3.439,2.977,0.565
Mixed,2.879,0.41,0.519,2.775,0.359,3.264,3.117,0.57
Mixed,3.155,0.418,0.35,3.194,0.506,3.522,2.973,0.626
Mixed,2.774,0.6,0.305,3.168,0.405,2.832,2.638,0.449
Mixed,2.939,0.562,0.305,3.281,0.387,3.1,2.647,0.498
Mixed,3.12,0.367,0.543,2.783,0.533,3.221,3.399,0.388
Mixed,3.029,0.532,0.363,2.969,0.436,3.282,2.972,0.472
Mixed,3.417,0.456,0.319,3.024,0.459,3.315,3.188,0.378
Mixed,2.909,0.559,0.503,2.92,0.49,3.397,2.79,0.622
Mixed,2.729,0.622,0.488,3.021,0.461,3.567,3.405,0.445
Mixed,3.056,0.455,0.422,3.26,0.288,3.044,3.29,0.39
Mixed,3.369,0.467,0.34,3.337,0.274,3.409,2.828,0.515
Mixed,3.139,0.468,0.312,2.745,0.234,3.001,2.646,0.455
Mixed,2.853,0.342,0.422,3.346,0.339,2.99,3.002,0.612
Mixed,3.332,0.459,0.455,3.201,0.398,2.888,3.255,0.574
Mixed,3.376,0.454,0.578,3.23,0.483,2.846,3.303,0.611
Mixed,3.194,0.474,0.588,3.249,0.388,3.48,3.151,0.605
Mixed,2.867,0.511,0.406,3.364,0.534,3.599,3.063,0.629
Mixed,3.222,0.592,0.549,2.691,0.495,3.156,3.007,0.4
